Name,Region_0,Region_1,Region_2
Algeria,World,AFRICA,NORTHERN AFRICA
Egypt,World,AFRICA,NORTHERN AFRICA
Libya,World,AFRICA,NORTHERN AFRICA
Morocco,World,AFRICA,NORTHERN AFRICA
Sudan,World,AFRICA,NORTHERN AFRICA
Tunisia,World,AFRICA,NORTHERN AFRICA
Western Sahara,World,AFRICA,NORTHERN AFRICA
Benin,World,AFRICA,WESTERN AFRICA
Burkina Faso,World,AFRICA,WESTERN AFRICA
Cape Verde,World,AFRICA,WESTERN AFRICA
Cote d'Ivoire,World,AFRICA,WESTERN AFRICA
Gambia,World,AFRICA,WESTERN AFRICA
Ghana,World,AFRICA,WESTERN AFRICA
Guinea,World,AFRICA,WESTERN AFRICA
Guinea-Bissau,World,AFRICA,WESTERN AFRICA
Liberia,World,AFRICA,WESTERN AFRICA
Mali,World,AFRICA,WESTERN AFRICA
Mauritania,World,AFRICA,WESTERN AFRICA
Niger,World,AFRICA,WESTERN AFRICA
Nigeria,World,AFRICA,WESTERN AFRICA
Senegal,World,AFRICA,WESTERN AFRICA
Sierra Leone,World,AFRICA,WESTERN AFRICA
Togo,World,AFRICA,WESTERN AFRICA
Burundi,World,AFRICA,EASTERN AFRICA
Comoros,World,AFRICA,EASTERN AFRICA
Djibouti,World,AFRICA,EASTERN AFRICA
Eritrea,World,AFRICA,EASTERN AFRICA
Ethiopia,World,AFRICA,EASTERN AFRICA
Kenya,World,AFRICA,EASTERN AFRICA
Madagascar,World,AFRICA,EASTERN AFRICA
Malawi,World,AFRICA,EASTERN AFRICA
Mauritius,World,AFRICA,EASTERN AFRICA
Mayotte,World,AFRICA,EASTERN AFRICA
Mozambique,World,AFRICA,EASTERN AFRICA
Reunion,World,AFRICA,EASTERN AFRICA
Rwanda,World,AFRICA,EASTERN AFRICA
Seychelles,World,AFRICA,EASTERN AFRICA
Somalia,World,AFRICA,EASTERN AFRICA
South Sudan,World,AFRICA,EASTERN AFRICA
Tanzania,World,AFRICA,EASTERN AFRICA
Uganda,World,AFRICA,EASTERN AFRICA
Zambia,World,AFRICA,EASTERN AFRICA
Zimbabwe,World,AFRICA,EASTERN AFRICA
Angola,World,AFRICA,MIDDLE AFRICA
Cameroon,World,AFRICA,MIDDLE AFRICA
Central African Republic,World,AFRICA,MIDDLE AFRICA
Chad,World,AFRICA,MIDDLE AFRICA
Congo,World,AFRICA,MIDDLE AFRICA
"Congo, Dem. Rep.",World,AFRICA,MIDDLE AFRICA
Equatorial Guinea,World,AFRICA,MIDDLE AFRICA
Gabon,World,AFRICA,MIDDLE AFRICA
Sao Tome and Principe,World,AFRICA,MIDDLE AFRICA
Botswana,World,AFRICA,SOUTHERN AFRICA
eSwatini,World,AFRICA,SOUTHERN AFRICA
Lesotho,World,AFRICA,SOUTHERN AFRICA
Namibia,World,AFRICA,SOUTHERN AFRICA
South Africa,World,AFRICA,SOUTHERN AFRICA
Canada,World,NORTHERN AMERICA,NORTHERN AMERICA
United States,World,NORTHERN AMERICA,NORTHERN AMERICA
Belize,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Costa Rica,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
El Salvador,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Guatemala,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Honduras,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Mexico,World,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
