page,country,rev_id,row_num,batch_num,prediction,FIPS,Name,Type,TimeFrame,Data (M),Population
Julius Gregr,Czech Republic,395521877.0,3.0,3.0,Stub,,,,,,
Edvard Gregr,Czech Republic,395526568.0,4.0,4.0,Stub,,,,,,
Miroslav Poche,Czech Republic,672862914.0,221.0,221.0,Stub,,,,,,
Vojtěch Mynář,Czech Republic,673008587.0,222.0,222.0,Stub,,,,,,
Jan Malypetr,Czech Republic,704424304.0,758.0,758.0,Stub,,,,,,
Emanuel Moravec,Czech Republic,705080136.0,840.0,840.0,Start,,,,,,
Vladimír Hučín,Czech Republic,707597623.0,1332.0,378.0,Start,,,,,,
Pavla Topolánková,Czech Republic,709676840.0,1654.0,700.0,Start,,,,,,
Josef Barák,Czech Republic,711675761.0,2013.0,105.0,Stub,,,,,,
Antonín Švehla,Czech Republic,712426548.0,2131.0,223.0,Stub,,,,,,
Jakob Marzel Sternberger,Czech Republic,713698544.0,2447.0,539.0,Stub,,,,,,
Alois Anderka,Czech Republic,714174726.0,2523.0,615.0,Stub,,,,,,
Ivan Dejmal,Czech Republic,715467197.0,2936.0,74.0,Start,,,,,,
Franz Macoun,Czech Republic,715640391.0,3007.0,145.0,Stub,,,,,,
Karel Urbánek,Czech Republic,716711851.0,3254.0,392.0,Stub,,,,,,
Vladimír Klokočka,Czech Republic,717429365.0,3462.0,600.0,Start,,,,,,
Jaromír Jermář,Czech Republic,720027362.0,4161.0,345.0,Stub,,,,,,
Artur London,Czech Republic,721736524.0,4702.0,886.0,Start,,,,,,
František Sláma (politician),Czech Republic,722937211.0,4986.0,216.0,Stub,,,,,,
Jan Kubice,Czech Republic,723151837.0,5057.0,287.0,Stub,,,,,,
Kamil Jankovský,Czech Republic,723207013.0,5074.0,304.0,Stub,,,,,,
Václav Vacek,Czech Republic,724691268.0,5496.0,726.0,Stub,,,,,,
Čestmír Císař,Czech Republic,725362978.0,5760.0,36.0,C,,,,,,
Luca Rovinalti,Czech Republic,726666131.0,6044.0,320.0,Stub,,,,,,
Kamil Krofta,Czech Republic,726762194.0,6083.0,359.0,Start,,,,,,
Milan Štěch,Czech Republic,728506208.0,6260.0,536.0,Stub,,,,,,
Antonín Janoušek,Czech Republic,729912438.0,6438.0,714.0,Stub,,,,,,
Bedřich Geminder,Czech Republic,730146355.0,6476.0,752.0,Stub,,,,,,
Karel Domin,Czech Republic,735174171.0,7146.0,468.0,Start,,,,,,
Hubert Ripka,Czech Republic,737562321.0,7455.0,777.0,Start,,,,,,
Tomáš Eduard Šilinger,Czech Republic,741588720.0,8237.0,605.0,Stub,,,,,,
Petr Janyška,Czech Republic,741798984.0,8257.0,625.0,Stub,,,,,,
Jana Juřenčáková,Czech Republic,743423675.0,8495.0,863.0,Stub,,,,,,
Jaromír Nečas,Czech Republic,744448745.0,8684.0,98.0,Stub,,,,,,
Siegfried Taub,Czech Republic,744612257.0,8754.0,168.0,Start,,,,,,
Záviš Kalandra,Czech Republic,746707985.0,9118.0,532.0,Stub,,,,,,
Alois Rašín,Czech Republic,749575931.0,9806.0,266.0,Start,,,,,,
Bedřich Reicin,Czech Republic,749945936.0,9917.0,377.0,Start,,,,,,
Bernd Richter,Czech Republic,751718674.0,10249.0,709.0,Stub,,,,,,
Kamil Kalina,Czech Republic,753045804.0,10417.0,877.0,Stub,,,,,,
Richard Sacher,Czech Republic,755428089.0,10778.0,284.0,Stub,,,,,,
Václav Fischer,Czech Republic,756317863.0,10942.0,448.0,Start,,,,,,
Božena Viková-Kunětická,Czech Republic,757336278.0,12153.0,705.0,Stub,,,,,,
Mikuláš of Hus,Czech Republic,758942647.0,13026.0,624.0,Stub,,,,,,
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,13117.0,715.0,GA,,,,,,
Petr Mlsna,Czech Republic,765838180.0,14467.0,157.0,Stub,,,,,,
Antonín Cyril Stojan,Czech Republic,768047769.0,15031.0,721.0,C,,,,,,
František Kubka,Czech Republic,768676716.0,15180.0,870.0,Stub,,,,,,
Josef Pfitzner,Czech Republic,773853256.0,16574.0,356.0,Start,,,,,,
Vladimír Franz,Czech Republic,774595725.0,16839.0,621.0,C,,,,,,
Jan Stocklassa,Czech Republic,776095794.0,17226.0,54.0,Stub,,,,,,
Jaroslav Krejčí,Czech Republic,776197284.0,17252.0,80.0,Start,,,,,,
Libuše Benešová,Czech Republic,776338134.0,17292.0,120.0,Stub,,,,,,
Daniela Filipiová,Czech Republic,776338195.0,17293.0,121.0,Start,,,,,,
Moses Porges von Portheim,Czech Republic,776487173.0,17336.0,164.0,Start,,,,,,
Jan Kasl,Czech Republic,776508129.0,17344.0,172.0,Start,,,,,,
Jiří Kittner,Czech Republic,776509425.0,17345.0,173.0,Stub,,,,,,
Miloslav Vlček,Czech Republic,776513404.0,17348.0,176.0,Stub,,,,,,
Ivo Svoboda (politician),Czech Republic,776513552.0,17349.0,177.0,Start,,,,,,
Hana Orgoníková,Czech Republic,776513802.0,17350.0,178.0,Stub,,,,,,
Pavel Dostál,Czech Republic,776514175.0,17351.0,179.0,Start,,,,,,
Jiří Lobkowicz,Czech Republic,776751749.0,17406.0,234.0,Stub,,,,,,
Bohuslav Kokotek,Czech Republic,777876483.0,17860.0,688.0,Stub,,,,,,
Alena Hanáková,Czech Republic,778095433.0,17906.0,734.0,Stub,,,,,,
Irena Kočí,Czech Republic,779417455.0,18404.0,278.0,Stub,,,,,,
Martin Netolický,Czech Republic,779417738.0,18405.0,279.0,Stub,,,,,,
David Rath,Czech Republic,779418369.0,18406.0,280.0,Start,,,,,,
Eva Nováková,Czech Republic,779498276.0,18542.0,416.0,Stub,,,,,,
Vojtěch Adam,Czech Republic,779500408.0,18543.0,417.0,Stub,,,,,,
Vlastimil Balín,Czech Republic,779500749.0,18544.0,418.0,Stub,,,,,,
Jiří Dolejš,Czech Republic,779500957.0,18545.0,419.0,Stub,,,,,,
Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0,18546.0,420.0,Stub,,,,,,
Marie Stiborová,Czech Republic,779501096.0,18547.0,421.0,Start,,,,,,
Jiří Svoboda (politician),Czech Republic,779501161.0,18548.0,422.0,Stub,,,,,,
Miloslava Vostrá,Czech Republic,779501194.0,18549.0,423.0,Stub,,,,,,
Jiří Čeřovský,Czech Republic,779501654.0,18550.0,424.0,Stub,,,,,,
Jan Korger,Czech Republic,779501783.0,18551.0,425.0,Stub,,,,,,
Kateřina Jacques,Czech Republic,779581127.0,18618.0,492.0,C,,,,,,
Tomáš Chalupa,Czech Republic,779839245.0,18716.0,590.0,Stub,,,,,,
Pavel Blažek,Czech Republic,779839319.0,18717.0,591.0,Stub,,,,,,
Aleš Řebíček,Czech Republic,779839400.0,18718.0,592.0,Stub,,,,,,
Ivan Langer,Czech Republic,779839455.0,18719.0,593.0,Start,,,,,,
Jan Stráský,Czech Republic,779839492.0,18720.0,594.0,Start,,,,,,
Jan Chvojka,Czech Republic,779842639.0,18725.0,599.0,Stub,,,,,,
Marie Benešová,Czech Republic,779847262.0,18729.0,603.0,Stub,,,,,,
Juraj Chmiel,Czech Republic,779847492.0,18730.0,604.0,Stub,,,,,,
Daniela Kovářová,Czech Republic,779847531.0,18731.0,605.0,Stub,,,,,,
Rostislav Vondruška,Czech Republic,779847687.0,18732.0,606.0,Stub,,,,,,
Martin Štěpánek (actor),Czech Republic,779847799.0,18733.0,607.0,Start,,,,,,
Helena Třeštíková,Czech Republic,779847837.0,18734.0,608.0,Stub,,,,,,
Milena Vicenová,Czech Republic,779847883.0,18735.0,609.0,Stub,,,,,,
Jaroslav Bašta,Czech Republic,779848743.0,18736.0,610.0,Stub,,,,,,
Josef Lux,Czech Republic,779849059.0,18737.0,611.0,Stub,,,,,,
Miroslav Macek,Czech Republic,779849258.0,18738.0,612.0,Stub,,,,,,
Ladislav Miko,Czech Republic,779849694.0,18739.0,613.0,Stub,,,,,,
Džamila Stehlíková,Czech Republic,779849767.0,18740.0,614.0,Stub,,,,,,
Jozef Moravčík,Czech Republic,780051829.0,18816.0,690.0,Stub,,,,,,
Milan Uhde,Czech Republic,780321961.0,18883.0,757.0,Stub,,,,,,
František Pitra,Czech Republic,780534080.0,18936.0,810.0,Stub,,,,,,
Oldřich Černík,Czech Republic,780534267.0,18938.0,812.0,Stub,,,,,,
Otakar Motejl,Czech Republic,780868492.0,19037.0,911.0,Start,,,,,,
Ludwig Czech,Czech Republic,780887131.0,19039.0,913.0,Stub,,,,,,
