country,population,percentage_of_articles,percentage_of_pop
India,1400100000,0.013429752066115703,9.285051067780873e-09
Nigeria,206140000,0.0029585798816568047,9.702144173862424e-09
Tanzania,59734000,0.0024752475247524753,1.6740884588341647e-08
Ethiopia,114916000,0.019801980198019802,1.740401684708831e-08
Bangladesh,169809000,0.00946372239747634,1.7666908114410897e-08
Colombia,49444000,0.0035087719298245615,2.02249008979856e-08
Uganda,45741000,0.005405405405405406,2.1862224262696488e-08
Morocco,35952000,0.0048543689320388345,2.7814864263462393e-08
Brazil,211812000,0.011009174311926606,2.8327006968443713e-08
China,1402385000,0.0354295837023915,2.8522837879754847e-08
