country,population,percentage_of_articles,percentage_of_pop
Belgium,11515000,0.0019267822736030828,8.684324793747287e-08
Tanzania,59734000,0.0024752475247524753,1.6740884588341647e-08
Switzerland,8634000,0.0024875621890547263,1.1582117211026175e-07
Nepal,29996000,0.0028089887640449437,3.3337778370449395e-08
Peru,32824000,0.002857142857142857,3.046551303923958e-08
Nigeria,206140000,0.0029585798816568047,9.702144173862424e-09
Portugal,10255000,0.0031446540880503146,9.751340809361287e-08
Colombia,49444000,0.0035087719298245615,2.02249008979856e-08
Lithuania,2794000,0.004098360655737705,3.5790980672870434e-07
Morocco,35952000,0.0048543689320388345,2.7814864263462393e-08
