country,population,percentage_of_articles,percentage_of_pop
Tuvalu,10000,0.07407407407407407,0.0004
Dominica,72000,0.08333333333333333,1.388888888888889e-05
Vanuatu,321000,0.05172413793103448,9.345794392523365e-06
Iceland,368000,0.009950248756218905,5.4347826086956525e-06
Ireland,5003000,0.06702412868632708,4.9970017989206475e-06
Montenegro,622000,0.027777777777777776,3.215434083601286e-06
Martinique,356000,0.029411764705882353,2.808988764044944e-06
Bhutan,730000,0.06060606060606061,2.7397260273972604e-06
New Zealand,4987000,0.016602809706257982,2.6067776218167234e-06
Romania,19241000,0.12244897959183673,2.1828387297957488e-06
