country,population,percentage_of_articles,percentage_of_pop
"Korea, North",25779000,0.2222222222222222,3.1033011365840415e-07
Saudi Arabia,35041000,0.1282051282051282,4.2806997517194145e-07
Romania,19241000,0.12244897959183673,2.1828387297957488e-06
Central African Republic,4830000,0.12121212121212122,1.6563146997929607e-06
Uzbekistan,34174000,0.10714285714285714,8.77860361678469e-08
Mauritania,4650000,0.10416666666666667,1.0752688172043011e-06
Guatemala,18066000,0.08433734939759036,3.8746817225727885e-07
Dominica,72000,0.08333333333333333,1.388888888888889e-05
Syria,19398000,0.078125,5.155170636148057e-07
Benin,12209000,0.07692307692307693,5.733475305102794e-07
